authorName,bookFormat,bookId,description,numberOfPages,numberOfRatings,numberOfReviews,publishedBy,publishedDate,rating,title
Roger D. Peng,ebook,25358081,"Data science has taken the world by storm. Every field of study and area of business has been affected as people increasingly realize the value of the incredible quantities of data being generated. But to extract value from those data, one needs to be trained in the proper data science skills. The R programming language has become the de facto programming language for data science. Its flexibility, power, sophistication, and expressiveness have made it an invaluable tool for data scientists around the world. This book is about the fundamentals of R programming. You will get started with the basics of the language, learn how to manipulate datasets, how to write functions, and how to debug and optimize code. With the fundamentals provided in this book, you will have a solid foundation on which to build your data science toolbox.",132.0,169,21,Leanpub,"April 13, 2015",3.62,R Programming for Data Science
Matt Taddy,Hardcover,42167523,"Publisher's Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product.<br />Use machine learning to understand your customers, frame decisions, and drive value   Spreadsheet models and pivot tables were once the cutting-edge tools of business analysis. But the Big Data revolution has changed everything. Tasks that once required armies of business analysts are being automated and scaled with software, allowing decision makers to go deep into the data to understand how their business is running and what their customers want. This has led to a new superstar job the Business Data Scientist who is able to combine science and engineering tools with business and economic context to build data analyses that drive better decisions.<br />Matt Taddy, developer of the Big Data curriculum at the University of Chicago Booth School of Business, has made a career of training students to use economic principles to connect business decisions to massive data. Business Data Science is an essential primer for those who want to use cutting-edge machine learning to have a real impact on the direction of their business.<br />With Business Data Science, readers will With Business Data Science you have everything you need to connect business problems to data and drive decisions with data analysis. You'll understand your customers better, make more informed business decisions, achieve maximum value--and thrive in today's data-driven economy.",352.0,49,7,McGraw Hill,"August 21, 2019",4.16,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions"
Emily  Robinson,Hardcover,52661559,"Build a Career in Data Science is your guide to getting your first data science job, then quickly becoming a senior employee. Industry experts Jacqueline Nolis and Emily Robinson lay out the soft skills you’ll need alongside your technical know-how in order to succeed in the field. Following their clear and simple instructions you’ll craft a resume that hiring managers will love, learn how to ace your interview, and ensure you hit the ground running in your first months at your new job. Once you’ve gotten your foot in the door, learn to thrive as a data scientist by handling high expectations, dealing with stakeholders, and managing failures. Finally, you’ll look towards the future and learn about how to join the broader data science community, leaving a job gracefully, and plotting your career path. With this book by your side you’ll have everything you need to ensure a rewarding and productive role in data science.",250.0,155,19,MEAP,"January 1, 2020",4.43,Build a Career in Data Science
Mike Loukides,Kindle Edition,41543548,"As the impact of data science continues to grow on society there is an increased need to discuss how data is appropriately used and how to address misuse. Yet, ethical principles for working with data have been available for decades. The real issue today is how to put those principles into action. With this report, authors examine practical ways for making ethical data standards part of your work every day.",46.0,147,18,O'Reilly Media,"July 25, 2018",4.2,Ethics and Data Science
Samuel Hack,Kindle Edition,53454530,"Master the World of Machine Learning – Even if You’re a Complete Beginner With This Incredible 2-in1 Bundle<br /><br />Are you an aspiring entrepreneur? Are you an amateur software developer looking for a break in the world of machine learning? Do you want to learn more about the incredible world of Machine Learning, and what it can do for you? Then keep reading.<br /><br />Machine learning is the way of the future – and breaking into this highly lucrative and ever-evolving field is a great way for your career, or business, to prosper. Inside this guide, you’ll find simple, easy-to-follow explanations of the fundamental concepts behind machine learning, from the mathematical and statistical concepts to the programming behind them.<br /><br />With a wide range of comprehensive advice including machine learning models, neural networks, statistics, and much more, this guide is a highly effective tool for mastering this incredible technology.<br /><br />In book one, you'll learn:<br />- What is Artificial Intelligence Really, and Why is it So Powerful?<br />- Choosing the Right Kind of Machine Learning Model for You<br />- An Introduction to Statistics<br />- Reinforcement Learning and Ensemble Modeling<br />- “Random Forests” and Decision Trees<br /><br />In book two, you'll learn:<br />- Learn the Fundamental Concepts of Machine Learning Algorithms<br />- Understand The Four Fundamental Types of Machine Learning Algorithm<br />- Master the Concept of “Statistical Learning<br />- Learn Everything You Need to Know about Neural Networks and Data Pipelines<br />- Master the Concept of “General Setting of Learning”<br />- A Free Bonus<br /><br />Covering everything you need to know about machine learning, now you can master the mathematics and statistics behind this field and develop your very own neural networks! Whether you want to use machine learning to help your business, or you’re a programmer looking to expand your skills, this bundle is a must-read for anyone interested in the world of machine learning.<br /><br />So don’t wait – it’s never been easier to learn.<br /><br />Buy now to become a master of Machine Learning Today!",221.0,23,1,,"May 16, 2020",4.3,Machine Learning: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications
D.J. Patil,Kindle Edition,12700492,"As data science evolves to become a business necessity, the importance of assembling a strong and innovative data teams grows. In this in-depth report, data scientist DJ Patil explains the skills, perspectives, tools and processes that position data science teams for success.Topics What it means to be ""data driven."" The unique roles of data scientists. The four essential qualities of data scientists. Patil's first-hand experience building the LinkedIn data science team.",34.0,330,20,,"January 1, 1970",3.62,Building Data Science Teams
Oliver Theobald,Paperback,38886623," To buy the newest edition of this book (2021), please search ""Machine Learning Absolute Beginners Third Edition"" on Amazon. The product page you are currently viewing is for the 2nd Edition (2017) of the book.<br /><br />Featured by Tableau as the first of ""7 Books About Machine Learning for Beginners""<br /><br />Ready to crank up a virtual server and smash through petabytes of data? Want to add 'Machine Learning' to your LinkedIn profile?<br /><br />Well, hold on there...<br /><br />Before you embark on your epic journey, there are some theory and statistical principles to weave through first.<br />But rather than spend $30-$50 USD on a dense long textbook, you may want to read this book first. As a clear and concise alternative to a textbook, this book provides a practical and high-level introduction to machine learning.<br /><br />Machine Learning for Absolute Beginners Second Edition has been written and designed for absolute beginners . This means plain-English explanations and no coding experience required. Where core algorithms are introduced, clear explanations and visual examples are added to make it easy and engaging to follow along at home.<br /><br />This major new edition features many topics not covered in the First Edition, including Cross Validation, Data Scrubbing and Ensemble Modeling. Please note that this book is not a sequel to the First Edition, but rather a restructured and revamped version of the First Edition. Readers of the First Edition should not feel compelled to purchase this Second Edition.<br /><br /> If you have passed the 'beginner' stage in your study of machine learning and are ready to tackle coding and deep learning, you would be well served with a long-format textbook. If, however, you are yet to reach that Lion King moment —as a fully grown Simba looking over the Pride Lands of Africa—then this is the book to gently hoist you up and offer you a clear lay of the land. • How to download free datasets<br />• What tools and machine learning libraries you need<br />• Data scrubbing techniques, including one-hot encoding , binning and dealing with missing data<br />• Preparing data for analysis, including k -fold Validation<br />• Regression analysis to create trend lines<br />• Clustering , including k -Means Clustering to find new relationships<br />• The basics of Neural Networks<br />• Bias/Variance to improve your machine learning model<br />• Decision Trees to decode classification<br />• How to build your first Machine Learning Model to predict house values using Python Do I need programming experience to complete this book?<br /> This book is designed for absolute beginners, so no programming experience is required. However, two of the later chapters introduce Python to demonstrate an actual machine learning model, so you will see programming language used in this book.<br /><br /> I have already purchased the First Edition of this book, should I purchase this Second Edition?<br /> As the majority of the topics from the First Edition are covered in the Second Edition, you may be better served reading a more advanced title on machine learning.<br /><br /> Can I get access to the Kindle version of this book?<br /> Yes. Under Amazon’s Matchbook program, the purchaser of this book can add the Kindle version of this title (valued at $3.99 USD) to their Amazon Kindle library at no cost.<br /><br /> Does this book include everything I need to become a machine learning expert?<br /> This book is designed for readers taking their first steps in machine learning and further learning will be required beyond this book to master machine learning.",166.0,726,69,Independently published,"January 1, 2018",3.94,Machine Learning For Absolute Beginners: A Plain English Introduction
Alex J. Gutman,ebook,56357967,"<b>Turn yourself into a Data Head. You'll become a more valuable employee and make your organization more successful.<br /></b>Thomas H. Davenport, Research Fellow, Author of <i>Competing on Analytics</i>, <i>Big Data @ Work</i>, and <i>The AI Advantage</i><br /><br /><b>You've heard the hype around data--now get the facts.</b><br /><br />In <i>Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning</i>, award-winning data scientists Alex Gutman and Jordan Goldmeier pull back the curtain on data science and give you the language and tools necessary to talk and think critically about it.<br /><br />You'll learn how to:<br /><br />Think statistically and understand the role variation plays in your life and decision making Speak intelligently and ask the right questions about the statistics and results you encounter in the workplace Understand what's really going on with machine learning, text analytics, deep learning, and artificial intelligence Avoid common pitfalls when working with and interpreting data <i>Becoming a Data Head</i> is a complete guide for data science in the workplace: covering everything from the personalities you'll work with to the math behind the algorithms. The authors have spent years in data trenches and sought to create a fun, approachable, and eminently readable book. Anyone can become a Data Head--an active participant in data science, statistics, and machine learning. Whether you're a business professional, engineer, executive, or aspiring data scientist, this book is for you.",288.0,236,25,Wiley,"April 13, 2021",4.29,"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning"
Kevin Huo,Paperback,58949285,"""The advice in this book directly helped me land my dream job"" — Advitya Gemawat, ML Engineer, Microsoft “An invaluable resource for the Data Science &amp; ML community” — Aishwarya Srinivasan, Senior Data Scientist, Google ""Super helpful career advice on breaking into data &amp; landing your first job in the field"" — Prithika Hariharan, President of Waterloo Data Science Club; Data Science Intern, Wish “FINALLY! Cracking the Coding Interview but for Data Science &amp; ML!” — Jack Morris, AI Resident, Google “Solving the 201 interview questions is helpful for people in ALL industries, not just tech!” — Lars Hulstaert, Senior Data Scientist, Johnson &amp; Johnson “The authors explain exactly what hiring managers look for — a must read for any data job seeker” — Michelle Scarbrough, Former Data Analytics Manager, F500 Co.<br /><br /><br />About Kevin Kevin Huo is currently a Data Scientist at a Hedge Fund , and previously was a Data Scientist at Facebook working on Facebook Groups. He holds a degree in Computer Science from the University of Pennsylvania and a degree in Business from Wharton. In college he interned at Facebook , Bloomberg , and on Wall Street .<br /><br />About Nick <br />Nick Singh previously worked on Facebook’s Growth Team and at SafeGraph, a geospatial analytics startup. Currently, he runs SQL interview platform DataLemur.com and shares career tips on LinkedIn to his 120,000+ followers. Nick holds a degree in System Engineering with a minor in Computer Science from the University of Virginia. In college, he interned at Microsoft and at Google’s Nest Labs on the Data Infrastructure Team.",301.0,117,12,Ace the Data Science Interview,"August 16, 2021",4.39,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street"
Bradley Efron,Hardcover,30462852,"The twenty-first century has seen a breathtaking expansion of statistical methodology, both in scope and in influence. 'Big data', 'data science', and 'machine learning' have become familiar terms in the news, as statistical methods are brought to bear upon the enormous data sets of modern science and commerce. How did we get here? And where are we going? This book takes us on an exhilarating journey through the revolution in data analysis following the introduction of electronic computation in the 1950s. Beginning with classical inferential theories - Bayesian, frequentist, Fisherian - individual chapters take up a series of influential survival analysis, logistic regression, empirical Bayes, the jackknife and bootstrap, random forests, neural networks, Markov chain Monte Carlo, inference after model selection, and dozens more. The distinctly modern approach integrates methodology and algorithms with statistical inference. The book ends with speculation on the future direction of statistics and data science.",495.0,117,7,Cambridge University Press,"July 21, 2016",4.42,"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science"
Jeremy  Adamson,Paperback,57182112,"Organize, plan, and build an exceptional data analytics team within your organization In Minding the Building and Leading Data Science and Analytics Teams , AI and analytics strategy expert Jeremy Adamson delivers an accessible and insightful roadmap to structuring and leading a successful analytics team. The book explores the tasks, strategies, methods, and frameworks necessary for an organization beginning their first foray into the analytics space or one that is rebooting its team for the umpteenth time in search of success. In this book, you’ll Perfect for executives, managers, team leads, and other business leaders tasked with structuring and leading a successful analytics team, Minding the Machines is also an indispensable resource for data scientists and analysts who seek to better understand how their individual efforts fit into their team’s overall results.",240.0,27,7,Wiley,"July 27, 2021",4.44,Minding the Machines: Building and Leading Data Science and Analytics Teams
Garrett Grolemund,Paperback,25519796,,250.0,142,2,O'Reilly Media,"October 25, 2015",4.55,Data Science with R
Brian Godsey,Paperback,31670583,"<i>Think Like a Data Scientist</i> presents a step-by-step approach to data science, combining analytic, programming, and business perspectives into easy-to-digest techniques and thought processes for solving real world data-centric problems.<br /><br /><br /><b>About the Technology</b><br /><br />Data collected from customers, scientific measurements, IoT sensors, and so on is valuable only if you understand it. Data scientists revel in the interesting and rewarding challenge of observing, exploring, analyzing, and interpreting this data. Getting started with data science means more than mastering analytic tools and techniques, however; the real magic happens when you begin to think like a data scientist. This book will get you there.<br /><br /><br /><b>About the Book</b><br /><br /><i>Think Like a Data Scientist</i> teaches you a step-by-step approach to solving real-world data-centric problems. By breaking down carefully crafted examples, you'll learn to combine analytic, programming, and business perspectives into a repeatable process for extracting real knowledge from data. As you read, you'll discover (or remember) valuable statistical techniques and explore powerful data science software. More importantly, you'll put this knowledge together using a structured process for data science. When you've finished, you'll have a strong foundation for a lifetime of data science learning and practice.<br /><br /><br /><b>What's Inside</b><br /><br />The data science process, step-by-step<br />How to anticipate problems<br />Dealing with uncertainty<br />Best practices in software and scientific thinking<br />About the Reader<br /><br />Readers need beginner programming skills and knowledge of basic statistics.<br /><br /><br /><b>About the Author</b><br /><br />Brian Godsey has worked in software, academia, finance, and defense and has launched several data-centric start-ups.",328.0,88,12,Manning,"March 31, 2017",3.81,Think Like a Data Scientist: Tackle the data science process step-by-step
Steven S. Skiena,Hardcover,34266283,"This book serves an introduction to data science, focusing on the skills and principles needed to build systems for collecting, analyzing, and interpreting data. As a discipline, data science sits at the intersection of statistics, computer science, and machine learning, but it is building a distinct heft and character of its own.<br /><br />In particular, the book stresses the following basic principles as fundamental to becoming a good data scientist: ""Valuing Doing the Simple Things Right,"" laying the groundwork of what really matters in analyzing data; ""Developing Mathematical Intuition,"" so that readers can understand on an intuitive level why these concepts were developed, how they are useful and when they work best, and; ""Thinking Like a Computer Scientist, but Acting Like a Statistician,"" following approaches which come most naturally to computer scientists while maintaining the core values of statistical reasoning. The book does not emphasize any particular language or suite of data analysis tools, but instead provides a high-level discussion of important design principles.<br /><br />This book covers enough material for an ""Introduction to Data Science"" course at the undergraduate or early graduate student levels. A full set of lecture slides for teaching this course are available at an associated website, along with data resources for projects and assignments, and online video lectures.<br /><br />Other Pedagogical features of this book include: ""War Stories"" offering perspectives on how data science techniques apply in the real world; ""False Starts"" revealing the subtle reasons why certain approaches fail; ""Take-Home Lessons"" emphasizing the big-picture concepts to learn from each chapter; ""Homework Problems"" providing a wide range of exercises for self-study; ""Kaggle Challenges"" from the online platform Kaggle; examples taken from the data science television show ""The Quant Shop,"" and; concluding notes in each tutorial chapter pointing readers to primary sources and additional references.",445.0,58,9,Springer,"July 1, 2017",4.47,The Data Science Design Manual
Steven L. Brunton,Hardcover,40714461,"Data-driven discovery is revolutionizing the modeling, prediction, and control of complex systems. This textbook brings together machine learning, engineering mathematics, and mathematical physics to integrate modeling and control of dynamical systems with modern methods in data science. It highlights many of the recent advances in scientific computing that enable data-driven methods to be applied to a diverse range of complex systems, such as turbulence, the brain, climate, epidemiology, finance, robotics, and autonomy. Aimed at advanced undergraduate and beginning graduate students in the engineering and physical sciences, the text presents a range of topics and methods from introductory to state of the art.",492.0,53,4,Cambridge University Press,"April 18, 2019",4.53,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control"
Nir Kaldero,Paperback,42527699,"We are in the 4th industrial revolution; companies need to figure out how to survive. In this exciting revolution, machine intelligence has had a more unprecedented impact on business than the internet, and it's the only path to corporate survival in the future. In Data Science for Executives, Nir Kaldero dispels the myths and confusion surrounding this game-changing technology and provides practical strategies for harnessing its profitable power. This essential tome provides illuminating case studies, important guiding principles, and effective on-the-ground actions for incorporating machine intelligence into your organization and employing it to enhance your business though the wealth of data that flows into your business. Leaders don't have to be scientists to unlock the power of AI technology that is already radically altering the industrial landscape. If you're ready to meet the challenges of this new revolution, this essential guide will help you take your business to the next level.",266.0,55,5,Lioncrest Publishing,"October 12, 2018",3.76,Data Science for Executives: Leveraging Machine Intelligence to Drive Business ROI
Nina Zumel,Paperback,18774683,"Summary<br /><br />Practical Data Science with R lives up to its name. It explains basic principles without the theoretical mumbo-jumbo and jumps right to the real use cases you'll face as you collect, curate, and analyze the data crucial to the success of your business. You'll apply the R programming language and statistical analysis techniques to carefully explained examples based in marketing, business intelligence, and decision support.<br /><br />Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.<br /><br />About the Book<br /><br />Business analysts and developers are increasingly collecting, curating, analyzing, and reporting on crucial business data. The R language and its associated tools provide a straightforward way to tackle day-to-day data science tasks without a lot of academic theory or advanced mathematics.<br /><br />Practical Data Science with R shows you how to apply the R programming language and useful statistical techniques to everyday business situations. Using examples from marketing, business intelligence, and decision support, it shows you how to design experiments (such as A/B tests), build predictive models, and present results to audiences of all levels.<br /><br />This book is accessible to readers without a background in data science. Some familiarity with basic statistics, R, or another scripting language is assumed.<br /><br />What's Inside<br /><br />About the Authors<br /><br />Nina Zumel and John Mount are cofounders of a San Francisco-based data science consulting firm. Both hold PhDs from Carnegie Mellon and blog on statistics, probability, and computer science at win-vector.com.<br /><br />Table of Contents",389.0,100,6,Manning,"April 13, 2014",4.17,Practical Data Science with R
Colin Strong,Paperback,18467587,"Between tweets, likes, comments, blogs, videos and images, today’s customer is estimated to generate 2.5 quintillion bytes of data per day. How can marketers utilize the ever-increasing amount of data to better understand and interact with their customers?<br /> <br />This book offers advice on how to interpret and incorporate data into an organization’s overall marketing strategy. It is designed to help marketers improve customer relationships, enhance the targeting of their marketing efforts, align marketing activities with ultimate goals and objectives, and gain insight into the effectiveness of marketing campaigns and channels.<br /><br />Topics covered include: the current limitations associated with big data, the differences between deriving the what, how and why from data, how to use social science to provide frameworks for a smart data agenda, privacy and personal data and the role of market research in a marketing strategy.",224.0,40,6,Kogan Page,"March 31, 2015",3.8,"Humanizing Big Data: Marketing at the Meeting of Data, Social Science & Consumer Insight"
Florian Dedov,ebook,53296014,"Become A Python Expert From Scratch!<br /><br />Python's popularity is growing tremendously and it's becoming more and more relevant economically and technologically. The fields of application of the language range from machine learning, over computer networking to business applications.<br /><br /><br />In this 7 in 1 version you get a full collection of The Python Bible series. From the first volume on, you will be lead on a structured way to the mastery of Python. Besides the basics and the intermediate concepts, you will also learn how to apply it in areas like machine learning, financial analysis and neural networks. At the end you will additionally be introduced to one of the most interesting fields of computer science, which is computer vision After reading this collection, you will not only understand the programming language but you will also be able to work on projects in the stated fields. You will become a true Python expert!<br /><br /><br />What You Will Learn:<br /><br />Beginner Level:<br /><br />• Basics of Programming with Python<br />• Automation of Simple Processes<br />• Programming of Modular Python Applications<br />• Easy Transition to Other Languages (Java, C++ etc.)<br /><br /><br />Intermediate Level:<br /><br />• Object-Oriented Programming<br />• Network Programming<br />• Penetration Testing with Python<br />• Regular Expressions<br />• Multithreading<br />• XML Processing<br />• Database Programming<br />• Logging<br /><br /><br />Data Science:<br /><br />• Analyzing and Processing Big Data<br />• Statistical Calculations with Python<br />• Visualization of Data<br />• Working with NumPy, Matplotlib and Pandas<br /><br /><br />Machine Learning:<br /><br />• Predicting Data with Machine Learning<br />• Building Neural Networks with Tensorflow<br />• Recognizing Handwritten Digits with Neural Networks<br />• Applying Linear Models like Regression<br />• K-Nearest-Neighbors Classification<br />• K-Means Clustering<br />• Support Vector Machines<br /><br /><br />Finance:<br /><br />• Financial Analysis with Python<br />• Analyzing and Graphing Stock Data<br />• Plotting Trendlines<br />• Predicting Share Prices with Machine Learning<br /><br /><br />Neural Networks:<br /><br />• Generating Poetic Texts with Neural Networks<br />• Predicting Sequential Data (Stocks, Weather etc.)<br />• Processing Audio and Video Data<br />• Recognizing Objects Like Horses, Cars and Trucks on Images<br />• Understanding Recurrent Neural Networks<br />• Understanding Convolutional Neural Networks<br /><br /><br />Computer Vision:<br /><br />• Making unreadable texts readable again with thresholding<br />• Extracting essential information out of images and videos<br />• Edge detection<br />• Template matching and feature matching<br />• Movement detection in videos<br />• Professional object recognition with OpenCV<br /><br /><br />Start Your Journey And Become A Python Expert With The Python Bible!",497.0,20,0,,"March 20, 2020",4.5,The Python Bible 7 in 1: Volumes One To Seven
Roger D. Peng,ebook,25358081,"Data science has taken the world by storm. Every field of study and area of business has been affected as people increasingly realize the value of the incredible quantities of data being generated. But to extract value from those data, one needs to be trained in the proper data science skills. The R programming language has become the de facto programming language for data science. Its flexibility, power, sophistication, and expressiveness have made it an invaluable tool for data scientists around the world. This book is about the fundamentals of R programming. You will get started with the basics of the language, learn how to manipulate datasets, how to write functions, and how to debug and optimize code. With the fundamentals provided in this book, you will have a solid foundation on which to build your data science toolbox.",132.0,169,21,Leanpub,"April 13, 2015",3.62,R Programming for Data Science
Matt Taddy,Hardcover,42167523,"Publisher's Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product.<br />Use machine learning to understand your customers, frame decisions, and drive value   Spreadsheet models and pivot tables were once the cutting-edge tools of business analysis. But the Big Data revolution has changed everything. Tasks that once required armies of business analysts are being automated and scaled with software, allowing decision makers to go deep into the data to understand how their business is running and what their customers want. This has led to a new superstar job the Business Data Scientist who is able to combine science and engineering tools with business and economic context to build data analyses that drive better decisions.<br />Matt Taddy, developer of the Big Data curriculum at the University of Chicago Booth School of Business, has made a career of training students to use economic principles to connect business decisions to massive data. Business Data Science is an essential primer for those who want to use cutting-edge machine learning to have a real impact on the direction of their business.<br />With Business Data Science, readers will With Business Data Science you have everything you need to connect business problems to data and drive decisions with data analysis. You'll understand your customers better, make more informed business decisions, achieve maximum value--and thrive in today's data-driven economy.",352.0,49,7,McGraw Hill,"August 21, 2019",4.16,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions"
Daniel Covington,Kindle Edition,28274767,"<b>UPDATED AND IMPROVED</b> Thank you to all those leaving reviews and providing feedback! <b>SO MANY PEOPLE DREAM OF BECOMING THEIR OWN BOSS OR SUCCEEDING IN THEIR CHOSEN PROFESSION, AND WITH THE RESOURCES AVAILABLE TODAY, MORE ENTREPRENEURS AND PROFESSIONALS ARE ACHIEVING GREAT SUCCESS! HOWEVER, SUCCESS SHOULD BE DEFINED FOR THE LONG TERM, AND AS OPPORTUNITIES START TO GROW, SO DOES THE COMPETITION.</b> Getting your business up and running or starting on your career path is one thing, but have a sustainable business or career is completely another. Many people make the mistake of making plans but having no follow-through. This is where analytics comes in. <b>Don’t you wish to have the power to know what your target consumers are thinking? Won’t you want to have a preview of what future trends to expect in the market you are in?</b> Well, this book is just the one you need. This book will teach you, in simple and easy-to-understand terms, how to take advantage of data from your daily operations and make such data a powerful tool that can influence how well your business does over time. The contents of this book are designed to help you use data to your advantage to enhance business outcomes! <b>Here’s what this book will teach </b>Why data is your single most powerful toolHow to conduct data analysis to enhance your businessWhich steps to take in performing predictive analysisWhat techniques you need to employ to achieve sustainable success <b></b>Regression techniquesMachine learning strategiesRisk management tipsAnd much, much, more You will never be able to get information this comprehensive anywhere else. Knowing and following the strategies in this book will surely get you on your way to having the best business outcomes! <b>To learn what you need to know; SCROLL UP AND DOWNLOAD YOUR COPY TODAY!</b>",293.0,65,7,,"December 22, 2015",3.23,"Analytics: Data Science, Data Analysis and Predictive Analytics for Business"
Russell Jurney,Paperback,15815177,"Mining big data requires a deep investment in people and time. How can you be sure you’re building the right models? With this hands-on book, you’ll learn a flexible toolset and methodology for building effective analytics applications with Hadoop. Using lightweight tools such as Python, Apache Pig, and the D3.js library, your team will create an agile environment for exploring data, starting with an example application to mine your own email inboxes. You’ll learn an iterative approach that enables you to quickly change the kind of analysis you’re doing, depending on what the data is telling you. All example code in this book is available as working Heroku apps.",175.0,72,10,O'Reilly Media,"November 26, 2013",3.32,Agile Data Science: Building Data Analytics Applications with Hadoop
Murtaza Haider,Paperback,22758937,"Master Data Analytics Hands-On by Solving Fascinating Problems You’ll Actually Enjoy!<br /><br />Harvard Business Review recently called data science “The Sexiest Job of the 21st Century.” It’s not just For millions of managers, analysts, and students who need to solve real business problems, it’s indispensable. Unfortunately, there’s been nothing easy about learning data science–until now.<br /><br />Getting Started with Data Science takes its inspiration from worldwide best-sellers like Freakonomics and Malcolm Gladwell’s Outliers : It teaches through a powerful narrative packed with unforgettable stories.<br /><br />Murtaza Haider offers informative, jargon-free coverage of basic theory and technique, backed with plenty of vivid examples and hands-on practice opportunities. Everything’s software and platform agnostic, so you can learn data science whether you work with R, Stata, SPSS, or SAS. Best of all, Haider teaches a crucial skillset most data science books how to tell powerful stories using graphics and tables. Every chapter is built around real research challenges, so you’ll always know why you’re doing what you’re doing.<br /><br />You’ll master data science by answering fascinating questions, such <br />• Are religious individuals more or less likely to have extramarital affairs?<br />• Do attractive professors get better teaching evaluations?<br />• Does the higher price of cigarettes deter smoking?<br />• What determines housing prices lot size or the number of bedrooms?<br />• How do teenagers and older people differ in the way they use social media?<br />• Who is more likely to use online dating services?<br />• Why do some purchase iPhones and others Blackberry devices?<br />• Does the presence of children influence a family’s spending on alcohol?<br /><br />For each problem, you’ll walk through defining your question and the answers you’ll need; exploring how<br />others have approached similar challenges; selecting your data and methods; generating your statistics;<br />organizing your report; and telling your story. Throughout, the focus is squarely on what matters <br />transforming data into insights that are clear, accurate, and can be acted upon.",608.0,39,5,IBM Press,"December 13, 2015",4.21,Getting Started with Data Science: Making Sense of Data with Analytics
EMC Education Services,Hardcover,22263956,"<i>Data Science and Big Data Analytics</i> is about harnessing the power of data for new insights. The book covers the breadth of activities and methods and tools that Data Scientists use. The content focuses on concepts, principles and practical applications that are applicable to any industry and technology environment, and the learning is supported and explained with examples that you can replicate using open-source software. This book will help you:<br /><br />Become a contributor on a data science team Deploy a structured lifecycle approach to data analytics problems Apply appropriate analytic techniques and tools to analyzing big data Learn how to tell a compelling story with data to drive business action Prepare for EMC Proven Professional Data Science Certification Corresponding data sets are available at www.wiley.com/go/9781118876138. <br /><br />Get started discovering, analyzing, visualizing, and presenting data in a meaningful way today!",432.0,61,3,Wiley,"January 27, 2015",3.89,"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data"
Hadley Wickham,Paperback,35179180,"<p>Learn how to use R to turn raw data into insight, knowledge, and understanding. This book introduces you to R, RStudio, and the tidyverse, a collection of R packages designed to work together to make data science fast, fluent, and fun. Suitable for readers with no previous programming experience, R for Data Science is designed to get you doing data science as quickly as possible.</p><p>Authors Hadley Wickham and Garrett Grolemund guide you through the steps of importing, wrangling, exploring, and modeling your data and communicating the results. You’ll get a complete, big-picture understanding of the data science cycle, along with basic tools you need to manage the details. Each section of the book is paired with exercises to help you practice what you’ve learned along the way.</p><p>You’ll learn how to:</p> 
   <b>Wrangle</b>—transform your datasets into a form convenient for analysis 
   <b>Program</b>—learn powerful R tools for solving data problems with greater clarity and ease 
   <b>Explore</b>—examine your data, generate hypotheses, and quickly test them 
   <b>Model</b>—provide a low-dimensional summary that captures true ""signals"" in your dataset 
   <b>Communicate</b>—learn R Markdown for integrating prose, code, and results 
 ",492.0,1104,101,O'Reilly,"January 31, 2017",4.55,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data"
Joshua Saxe,Kindle Edition,38213382,"<b>Malware Data Science explains how to identify, analyze, and classify large-scale malware using machine learning and data visualization.</b>Security has become a ""big data"" problem. The growth rate of malware has accelerated to tens of millions of new files per year while our networks generate an ever-larger flood of security-relevant data each day. In order to defend against these advanced attacks, you'll need to know how to think like a data scientist. In Malware Data Science, security data scientist Joshua Saxe introduces machine learning, statistics, social network analysis, and data visualization, and shows you how to apply these methods to malware detection and analysis. You'll learn how Analyze malware using static analysis- Observe malware behavior using dynamic analysis- Identify adversary groups through shared code analysis- Catch 0-day vulnerabilities by building your own machine learning detector- Measure malware detector accuracy- Identify malware campaigns, trends, and relationships through data visualization Whether you're a malware analyst looking to add skills to your existing arsenal, or a data scientist interested in attack detection and threat intelligence, Malware Data Science will help you stay ahead of the curve.",274.0,46,7,No Starch Press,"September 25, 2018",3.83,Malware Data Science: Attack Detection and Attribution
